ID,Status,Category,Author,Quote (first 80 chars),Source,URL,Detail,needsReview
5,not_found,fetchable,Jennifer Garvey Berger,A charismatic leader makes your feel good about her or him ... a great leader wa,"The Knowledge Project October 16, 2018",https://fs.blog/knowledge-project-podcast/jennifer-garvey-berger/,Author found but quote text not found,False
6,not_found,fetchable,Herb Kelleher,A company is stronger if bound by love than by fear ... if the employees come fi,UT Austin McCombs School of Business,https://news.mccombs.utexas.edu/news/southwest-airlines-co-founder-herb-kellehers-14-ways-to-be-a-leader/,Author found but quote text not found,False
8,not_found,fetchable,Naval Ravikant,"A fit body, a calm mind, a house full of love. These things cannot be bought - t",The Almanack of Naval Ravikant,https://www.navalmanack.com/,Author found but quote text not found,False
15,not_found,fetchable,John A. Sheed,"A ship in harbor is safe, but that is not what ships are built for",Salt from My Attic,https://books.google.com/books/about/Salt_from_My_Attic.html?id=ig4LtwAACAAJ,Neither quote nor author found on page,False
25,not_found,fetchable,Kevin Kelly,Always demand a deadline. A deadline weeds out the extraneous and the ordinary. ,Bits of Unsolicited Advice,https://kk.org/thetechnium/103-bits-of-advice-i-wish-i-had-known/,Author found but quote text not found,False
31,not_found,fetchable,Eric Ripert,Anger doesn't help to create quality,The Tim Ferriss Show,https://tim.blog/2018/02/02/the-tim-ferriss-show-transcripts-eric-ripert/,Author found but quote text not found,False
32,not_found,fetchable,Aaron VanDevender,"Anytime you have something that has gone through a rebranding, it's probably a s",,https://www.thetwentyminutevc.com/aaronvandevender,Author found but quote text not found,True
37,not_found,fetchable,Michael Bungay Stanier,"Ask people: ""What's the real challenge here for you?""",The Coaching Habit,https://www.mbs.works/,Author found but quote text not found,False
40,not_found,fetchable,Naval Ravikant,"Be aware there are no ""adults"". Everyone makes it up as they go along. You have ",The Almanack of Naval Ravikant,https://www.navalmanack.com/,Author found but quote text not found,False
42,not_found,fetchable,Paul Van Riper,Be in command and out of control,,https://www.litcharts.com/lit/blink/chapter-4-paul-van-riper-s-big-victory,Author found but quote text not found,True
43,not_found,fetchable,Ben Casnocha,Be very aware of an advice giver's biases ... they tend to end up giving advice ,,https://casnocha.com/2010/01/15-thoughts-on-advice-giving-and-receiving.html,Author found but quote text not found,True
50,not_found,fetchable,Aubrey Marcus,Build something where you are the first customer,,https://tim.blog/2018/03/22/tim-ferriss-show-transcript-aubrey-marcus/,Author found but quote text not found,True
